Training loss,Validation loss,Accuracy,Precision,Recall,F1-score,CSI-score
0.23244767,0.46691886,0.8869780625,0.46192849390746726,0.49188093963344254,0.47545779826263757,0.3121679188145101
0.17519331,0.17479385,0.9288615416666667,0.6722286422442092,0.6300572821485577,0.6504192440887098,0.4823214398428701
0.17281744,0.16514167,0.92947,0.678046941837624,0.6260152101810785,0.6509537510395613,0.4829555497150483
0.1716529,0.15605965,0.92986125,0.6969878537465108,0.5880197034395842,0.6378557398417416,0.46873916279955213
0.17073618,0.17634639,0.930423,0.6781180035468799,0.6430964392434777,0.6601206305918569,0.49316427768284843
0.17059986,0.15335941,0.9308530833333333,0.7138174933466528,0.5696173740219042,0.6336038707935433,0.46445514313145153
0.16978669,0.15390554,0.9289414375,0.6569696008520063,0.6764099075884038,0.6665472852127172,0.500365362298092
0.16910003,0.15158135,0.9297655833333334,0.6565242407514029,0.6947720914358153,0.675102225159049,0.5100439321774912
0.16927354,0.16317952,0.9302905625,0.6684150264073473,0.6694744223188838,0.6688226580957619,0.5028192266048416
0.16932869,0.15512298,0.9288422708333333,0.7645897295734017,0.4641310566065997,0.5774485789329812,0.4068017270750154
0.1685255,0.14947224,0.9322019791666667,0.709693664736397,0.6002330944973824,0.6503744795976718,0.4824306048665091
0.1691978,0.14892825,0.9323437916666667,0.698435496894253,0.6262275995395448,0.6603619616600784,0.4935243066241649
0.16910383,0.17915045,0.9299606874999999,0.6863986357626501,0.613441139802356,0.647860311087881,0.4796237786587557
0.1680151,0.15007974,0.9320163125,0.6932468267100398,0.6321135524510484,0.6612677453361298,0.49455493885108603
0.16756551,0.15970936,0.9317143541666666,0.7483967756391714,0.5262347476522807,0.6179417115160678,0.44781456472876935
0.16759495,0.15232904,0.9322480833333333,0.7260701568206854,0.5691747566705976,0.6380914633362926,0.4693204317331286
0.16672458,0.15668714,0.93238575,0.7352268652786745,0.5563884941326251,0.6334255465918819,0.4641876919517336
0.16665265,0.14741488,0.9312570625000001,0.6684072721064862,0.6870206492249826,0.6775412496386428,0.5128278084883755
0.16636987,0.15291297,0.9293615208333333,0.7858652244647759,0.44822793667721283,0.5704848550612872,0.4002849798762882
0.16632123,0.1783739,0.9319882083333333,0.6961888235883973,0.6248442154594959,0.658584976087086,0.4916258893844121
0.16694035,0.15043163,0.9306219166666667,0.6599502009188789,0.7005355955295662,0.679624363289931,0.5151766156058346
0.16629533,0.15382263,0.9301440625,0.658381387574098,0.6958388182400275,0.6765893104837597,0.5117245309374224
0.16576476,0.14796406,0.9323327916666666,0.6905607804636065,0.6452349891552006,0.6670824689321054,0.5008780844006533
0.16525698,0.15089804,0.9327061875,0.692457738497563,0.6469758336004074,0.6689043681574098,0.502944113507388
0.16630572,0.1514267,0.9296238333333333,0.6462102767847278,0.7310925124937003,0.6859254394412337,0.5223129269314277
0.16577218,0.15202698,0.9312445208333333,0.6794254915390543,0.6549061569243635,0.6668381236746792,0.5004955099094737
0.1650298,0.16938713,0.9292795625000001,0.6464325639047955,0.7216019620122992,0.6819048943521837,0.5176750416709781
0.16548997,0.1610383,0.9281067083333333,0.7723322842211928,0.44649184871252634,0.5658495065250704,0.3949499107805708
0.16489469,0.14686498,0.9331903125000001,0.7298810260167778,0.5775135326809184,0.6448028364330274,0.4762230663718336
0.16400029,0.16031218,0.9314018333333334,0.6636660625044719,0.7053518212585719,0.6837725747399195,0.519893938147106
0.1635659,0.1495138,0.9339188125,0.7282180353639123,0.591425617897479,0.6527248897411637,0.4849421550433106
0.16341382,0.15112454,0.9308482708333334,0.6668989079503972,0.6827866255805994,0.6747350257965128,0.5095990092877735
0.16302715,0.15302247,0.9279447708333333,0.6308944837602728,0.7586575928573163,0.688788112156588,0.5256031370399605
0.16367953,0.14524241,0.9340449791666667,0.6948568434770822,0.6644749563723533,0.679280219870924,0.5148091653035252
0.16350612,0.14473929,0.9353177291666667,0.7080271593791094,0.6557679691121807,0.6807486272267584,0.5164020761719851
0.16249931,0.18382046,0.9304165416666667,0.7013792831026658,0.5885790361109134,0.639935638098027,0.4708316669004046
0.16236392,0.14717728,0.9338785833333334,0.6793967572201081,0.7039928384666005,0.6913218166399822,0.5286350577317352
0.16323474,0.1453509,0.9335348333333333,0.6865670253415589,0.6762496870428283,0.6813515581082861,0.5172159407153354
0.16256164,0.15844482,0.9310765208333334,0.653274322969531,0.7352208297078622,0.6917093477079246,0.5291032185755629
0.16192344,0.1441632,0.9346198958333334,0.7099903754350387,0.640234289407968,0.6731606988285899,0.5077425389227102
0.16191898,0.16034894,0.9315391041666667,0.6999215023867658,0.6090245401631136,0.6512847963472439,0.48318567585895267
0.16184202,0.14341079,0.9344620416666667,0.7230701722120197,0.6099348499814186,0.6616573076573764,0.49481177071395716
0.16106525,0.14842528,0.9342695624999999,0.6955867710046353,0.6672315166098548,0.6809999897191011,0.5167118793018417
0.16165096,0.15108857,0.9327034166666667,0.6828589738946159,0.672072723863566,0.677325888793518,0.5124307557619351
0.16124983,0.14306997,0.9353845208333333,0.7238817567542566,0.6235512553132522,0.6698422459554456,0.5039367528312735
0.160437,0.14478987,0.9337489166666666,0.6713250461927549,0.7264414903393094,0.6976412667540662,0.5360920331410592
0.16063347,0.14476568,0.9351830624999999,0.7216494290856703,0.6240548170563509,0.6692824281600902,0.5034732536595531
0.16008218,0.16186665,0.9311268333333333,0.6569182811775607,0.7234035280877862,0.6883604902637697,0.5250958674515753
0.16084193,0.15628749,0.9345849166666667,0.6907134609343911,0.6853918507509744,0.6878983057886118,0.5246781046181321
