Training loss,Validation loss,Accuracy,Precision,Recall,F1-score,CSI-score
0.49558762,0.46649843,0.8246023124999999,0.36952310883606576,0.9567889579754776,0.5331387516881039,0.36346759531669803
0.35047174,0.3339098,0.9140844583333334,0.5624603881833744,0.8177312007481405,0.6664561649767552,0.499992530151515
0.34759593,0.35462034,0.8996365208333333,0.5127138690020104,0.8714947473913559,0.6455798326834298,0.4767829006231552
0.34696984,0.32803056,0.9169834583333334,0.5743382340971644,0.8104646886040554,0.6722116428899505,0.5065307946457464
0.34563258,0.32529798,0.9235591875,0.6101135950613198,0.7554231231444579,0.6749852489760868,0.5097809640737455
0.3441303,0.32879546,0.9156660208333334,0.5682058707370021,0.8204604015413501,0.6713743815172707,0.5055548189824535
0.34338614,0.32601842,0.9238111666666666,0.6121114812175907,0.7501609178434697,0.6741085351166236,0.5087807067496064
0.34278327,0.35420415,0.897297875,0.505890679106396,0.893043956521319,0.6458720567098348,0.4770943259030027
0.34223482,0.32532734,0.9184783333333333,0.5806522220404727,0.8056524931053983,0.6748531088848215,0.5095396264688864
0.3413169,0.32756966,0.9162486666666667,0.5704433936536406,0.8197192637906354,0.6726878313821085,0.5070403378067995
0.34119675,0.3230311,0.9238944166666667,0.6110088452442919,0.759258791545258,0.6770627822119695,0.5121543831796039
0.34022227,0.32171968,0.9233306458333334,0.6065803467233979,0.7696455092070493,0.6783937682823691,0.5136372527086337
0.34113827,0.32140568,0.9203092500000001,0.5886699992011483,0.8014910541190983,0.6787324639681143,0.5139650103961471
0.33905938,0.31858343,0.9211470416666667,0.5921947154750244,0.8029337450159089,0.6815370547226759,0.5171817603182607
0.33775786,0.3162879,0.923719375,0.6057606754272619,0.7851694045073478,0.6838224540872208,0.519838027796231
0.337599,0.3222115,0.9159030833333333,0.5673657147029825,0.8424754883985526,0.677972620618309,0.5130794345653457
0.3366159,0.3141673,0.9251649375,0.613690179911085,0.7775563863733325,0.6859027233283446,0.5222870467799
0.335702,0.31577715,0.9194048333333333,0.5813737915936614,0.8316642329528652,0.6842968427454024,0.5203569651968398
0.33441252,0.31233594,0.9267942916666667,0.6231065608604933,0.7674696830698551,0.6877545347046483,0.5244428528896661
0.33417562,0.31483525,0.9212575208333333,0.59080831740352,0.8158560775936874,0.6852509905140084,0.5214759401240201
