Training loss,Validation loss,Accuracy,Precision,Recall,F1-score,CSI-score
0.306058,1.0573542,0.8057648541666667,0.3460233362344516,0.9606817315677811,0.5087765218075497,0.3411926251685299
0.1778154,0.15646149,0.9277907291666667,0.6641182236339764,0.6325349696497335,0.6479123779637512,0.47961176111219106
0.17405161,0.15598136,0.9278609583333333,0.6520757276912553,0.6717559679881213,0.6617350395569865,0.49485645452172494
0.17227156,0.15353271,0.9290867083333334,0.6896448884747868,0.5914903637569235,0.6367436218625211,0.467498018118507
0.17115112,0.152958,0.9292709791666667,0.7066746215543487,0.5576308342906718,0.6233662688127475,0.4532972299872137
0.17076789,0.153611,0.9300973958333334,0.6975472763109944,0.5907504676710582,0.6396925125498094,0.47070120309948527
0.17020805,0.15408999,0.9303502708333333,0.6824950241765293,0.6311870746028174,0.6557699901841143,0.48828546472133255
0.16933641,0.16969849,0.9302802291666666,0.7087426760217872,0.5703432617711641,0.6320534417739029,0.46257237980725596
0.16957133,0.15138462,0.9302124791666667,0.7177193833732651,0.5532455960762207,0.6248250835385422,0.45490076294554954
0.16990648,0.15085283,0.9306212916666666,0.7252500813114386,0.5452269610520333,0.6224565651542281,0.45251554871421473
0.16954333,0.15053786,0.9309593125,0.6852751799125809,0.6341393449992945,0.6586833855517206,0.49150221928071314
0.16956684,0.14973447,0.9313243124999999,0.6813870235592501,0.6515900305343486,0.6661103552240858,0.49992134633613317
0.16926005,0.16311724,0.908236625,0.736207801570546,0.19410411998466925,0.3070634856895968,0.18139787855504128
0.16818511,0.15369475,0.9301023958333333,0.6606456138025856,0.6890709844632531,0.6745071134637528,0.5093109218437248
0.16779447,0.1649391,0.9294312916666667,0.6701972565767629,0.64784390990974,0.6586995139619712,0.4914358668205622
0.16750476,0.14803022,0.9324999791666666,0.6851121015550702,0.6623221849674615,0.6734732528313209,0.5081450801994005
0.16664974,0.16434705,0.9287702291666666,0.6455215092990461,0.7142110688371412,0.6781126509895983,0.513429340957146
0.1666086,0.14869325,0.9320539791666667,0.6779809519641476,0.6745498586144534,0.6761342731849223,0.5111085548870548
0.16621989,0.15282255,0.9324796875,0.7397046066051538,0.5496204728226639,0.6305925295124495,0.4611313794916075
0.16584148,0.15705504,0.9297407083333333,0.6612699344123318,0.6791149296870757,0.6700561419025894,0.5042875606904993
0.16638333,0.15579066,0.9310394166666667,0.7741373961494522,0.4837169761319127,0.5953438127804347,0.42462340827913486
0.16580005,0.14750649,0.9323273333333333,0.6798747892408303,0.6732608543785501,0.6764971694010005,0.511565864103186
0.1650031,0.14767516,0.9329240416666666,0.6840706743438054,0.6716934510112219,0.6778136106157424,0.5131172385528794
0.16448848,0.14401841,0.9336599166666666,0.7067349502184566,0.6300036872832897,0.6661316933311466,0.4998054628913601
0.16519232,0.1470465,0.93279475,0.6852870510268845,0.6668185348160787,0.6758819693172802,0.5108668926560445
0.16524726,0.15391088,0.9274669375,0.7905513060121943,0.41912482101590476,0.5477738349861185,0.3777018531466627
0.1646551,0.14951402,0.9325726875,0.7464449742508779,0.5408880473217136,0.627227658742431,0.4574660977823301
0.16504392,0.14369848,0.9344483125,0.7217871173902014,0.6116277789568094,0.6621442052698377,0.49538555178435295
0.16446404,0.14399084,0.9337386666666667,0.7363448179292643,0.5739306138771652,0.6450605561751275,0.47660274824679943
0.16395599,0.14475378,0.933365625,0.6814488350663174,0.6871120258353169,0.6842298720802893,0.5204233669310566
0.16339597,0.14301345,0.9344541041666666,0.7113213930939575,0.6325160862595927,0.6696080855633018,0.503903993536809
0.16354619,0.14490527,0.9326735833333333,0.6724585481320096,0.7014607763890545,0.686570430685919,0.5231246065672034
0.16338384,0.1570976,0.9310732291666667,0.6574572900219973,0.7205426555577461,0.6873746330547921,0.5239879561199319
0.16403693,0.15947956,0.9327508541666667,0.7275834014271869,0.5753793482259952,0.6425438988498862,0.47375324272633246
0.16400565,0.14331704,0.9342284583333333,0.711042358717645,0.6296098937031601,0.6678480351431536,0.5018287102958976
0.16288671,0.15383169,0.9343029375,0.7292003513702335,0.5965736542282117,0.6560969953152334,0.48845165743731184
0.16297191,0.14464712,0.934653,0.7040511959697417,0.652650397182829,0.6773148744760724,0.5124632971863663
0.16394426,0.1540378,0.9342836041666667,0.7079166801384483,0.6378276189883899,0.6710217883353917,0.505413474159502
0.16295493,0.14526169,0.9341671458333334,0.6947176041527708,0.6663713041422703,0.6802196159565048,0.5158552052906819
0.16258349,0.1433002,0.9345459375,0.7077678920492256,0.6426879540621515,0.6736070518751797,0.5082852598519751
0.16263643,0.15089652,0.9331090625,0.7764991407866888,0.5086596858046419,0.6146243112885986,0.4442881640833607
0.16276096,0.1445987,0.9340948124999999,0.7518250966101006,0.5553180057006827,0.6387998773541586,0.4697986340237005
0.16203366,0.14827248,0.934636,0.69576049749933,0.6725585450527123,0.683873912064832,0.5200078484293031
0.16282487,0.15740517,0.9266348125,0.6217682655836796,0.7713461292878142,0.6884184643330616,0.5251348082481524
0.16244939,0.1427279,0.9349885416666667,0.7063969098631896,0.6531877925026395,0.6786860615448528,0.5140850569477272
0.16165096,0.1467289,0.9310744375,0.6505430573120947,0.7448717519249766,0.6943951884384683,0.5321770642741084
0.16202316,0.14396548,0.93445125,0.7389523510228597,0.5809769078813891,0.6505006987058479,0.4824623724972513
0.16144906,0.15287995,0.9294264999999999,0.7489667982143853,0.4927738708623467,0.5944177046208001,0.42322828409017765
0.1623785,0.15018868,0.9339375416666666,0.6797084630335489,0.7036027524119228,0.6913104596598001,0.528578622133245
